log_id,event,game_name,game_id,player,date,total_frames,knows_true_count,knows_true_percent,knows_false_count,knows_false_percent,total_runs,detected_runs,not_detected_runs,avg_detected_length,longest_detected,avg_not_detected_length,longest_not_detected
111,2024-07-15_RC24,BerlinUnited_vs_BHuman_half1,17,1,2025-05-06 17:17:35,21568,2940,13.63,18628,86.37,61,30,31,98.0,393,600.9,3903
112,2024-07-15_RC24,BerlinUnited_vs_BHuman_half1,17,2,2025-05-06 17:18:36,21565,4667,21.64,16898,78.36,107,53,54,88.06,367,312.93,3281
113,2024-07-15_RC24,BerlinUnited_vs_BHuman_half1,17,3,2025-05-06 17:19:15,21520,6897,32.05,14623,67.95,157,78,79,88.42,1074,185.1,2664
114,2024-07-15_RC24,BerlinUnited_vs_BHuman_half1,17,4,2025-05-06 17:19:23,21548,6715,31.16,14833,68.84,123,61,62,110.08,438,239.24,2452
115,2024-07-15_RC24,BerlinUnited_vs_BHuman_half1,17,5,2025-05-06 17:19:31,21459,5593,26.06,15866,73.94,145,72,73,77.68,386,217.34,2581
116,2024-07-15_RC24,BerlinUnited_vs_BHuman_half1,17,6,2025-05-06 17:19:38,21556,7248,33.62,14308,66.38,97,48,49,151.0,681,292.0,2562
117,2024-07-15_RC24,BerlinUnited_vs_BHuman_half1,17,7,2025-05-06 17:19:47,21570,4757,22.05,16813,77.95,117,58,59,82.02,526,284.97,2505
118,2024-07-15_RC24,BerlinUnited_vs_BHuman_half2,18,1,2025-05-06 17:20:10,20614,5798,28.13,14816,71.87,138,69,69,84.03,471,214.72,2531
119,2024-07-15_RC24,BerlinUnited_vs_BHuman_half2,18,2,2025-05-06 17:20:18,19499,6797,34.86,12702,65.14,153,76,77,89.43,753,164.96,2150
120,2024-07-15_RC24,BerlinUnited_vs_BHuman_half2,18,3,2025-05-06 17:20:26,20590,7179,34.87,13411,65.13,190,95,95,75.57,611,141.17,1956
121,2024-07-15_RC24,BerlinUnited_vs_BHuman_half2,18,4,2025-05-06 17:20:34,20564,4993,24.28,15571,75.72,119,59,60,84.63,436,259.52,1805
